"Region","Year","Electricity","Investment","Consumption","Population","gdpPercap"
"宁夏",2015,878.33,3505.45,17210,684,37710.5263157895
"青海",2015,658,3210.63,15167,577,34852.6863084922
"山东",2015,5117.05,48312.44,20684,9866,56039.7324143523
"山西",2015,1737.21,14074.15,14364,3519,33635.6919579426
"陕西",2015,1221.73,18582.24,15363,3846,46538.741549662
"上海",2015,1405.55,6352.7,45816,2458,109385.679414158
"四川",2015,1992.4,25525.9,14774,8196,37020.4978038067
"天津",2015,800.6,11831.99,32595,1439,75604.5865184156
"西藏",2015,40.53,1295.68,8756,330,31606.0606060606
"新疆",2015,2160.34,10813.03,13684,2385,39022.641509434
"云南",2015,1438.61,13500.62,13401,4663,32082.3504181857
"浙江",2015,3553.9,27323.32,28712,5985,72694.5697577277
"重庆",2015,875.37,14353.24,18860,3070,52249.1856677524
"安徽",2016,1794.98,27033.38,15466,6033,43606.3318415382
"北京",2016,1020.27,7943.89,48883,2195,123194.533029613
"福建",2016,1968.58,23237.35,23355,4016,73728.5856573705
"甘肃",2016,1065.15,9663.99,13086,2520,27412.3015873016
"广东",2016,5610.13,33303.64,28495,11908,68998.3204568357
"广西",2016,1359.65,18236.78,15013,4857,33182.2112415071
"贵州",2016,1241.78,13204,14666,3758,31379.4571580628
"海南",2016,287.31,3890.45,18431,957,42739.8119122257
"河北",2016,3264.52,31750.02,14328,7375,38608.9491525424
"河南",2016,2989.15,40415.09,16043,9778,41163.1212926979
"黑龙江",2016,896.62,10648.35,17393,3463,34348.8304937915
"湖北",2016,1763.11,30011.65,19391,5885,56674.5964316058
"湖南",2016,1495.65,28353.33,17490,6625,46571.320754717
"吉林",2016,667.63,13923.2,13786,2567,40619.400077912
"江苏",2016,5458.95,49663.21,35875,8381,92293.1631070278
"江西",2016,1182.5,19694.21,16040,4496,40899.9110320285
"辽宁",2016,2037.4,6692.25,23670,4327,47128.4954934135
"内蒙古",2016,2605.03,15080.01,22293,2436,56606.3218390805
"宁夏",2016,886.91,3794.25,18570,695,40020.1438848921
"青海",2016,637.51,3528.05,16751,582,38800.6872852234
"山东",2016,5390.75,53322.94,25860,9973,58921.5882883786
"山西",2016,1797.18,14197.98,15065,3514,33996.5850882186
"陕西",2016,1357.06,20825.25,16657,3874,49163.1388745483
"上海",2016,1486.02,6755.88,49617,2467,121147.142278071
"四川",2016,2101.02,28811.95,16013,8251,40163.0105441765
"天津",2016,807.93,12779.39,36257,1443,79537.0755370755
"西藏",2016,49.22,1596.05,9743,340,34500
"新疆",2016,2316.46,10287.53,15247,2428,39665.568369028
"云南",2016,1410.52,16119.4,14534,4677,34998.9309386359
"浙江",2016,3873.19,30276.07,30743,6072,77822.7931488801
"重庆",2016,924.89,16048.1,21032,3110,57951.768488746
"安徽",2017,1921.48,29275.06,17141,6057,48994.8819547631
"北京",2017,1066.89,8370.44,52912,2194,136203.281677302
"福建",2017,2112.72,26416.28,25969,4065,83253.1365313653
"甘肃",2017,1164.37,5827.75,14203,2522,29090.8009516257
"广东",2017,5958.97,37761.75,30762,12141,75486.945062186
"广西",2017,1444.95,20499.11,16064,4907,36255.75708172
"贵州",2017,1384.89,15503.86,16349,3803,35775.4404417565
"海南",2017,304.95,4244.4,20939,972,46270.5761316872
"河北",2017,3441.74,33406.8,15893,7409,41356.1884194898
"河南",2017,3166.17,44496.93,17842,9829,45604.741072337
"黑龙江",2017,928.57,11291.98,18859,3399,36225.3604001177
"湖北",2017,1869,32282.36,21642,5904,63067.4119241192
"湖南",2017,1581.51,31959.23,19418,6633,50999.6984773104
"吉林",2017,702.98,13283.89,15083,2526,43238.3214568488
"江苏",2017,5807.89,53277.03,39796,8423,101946.812299656
"江西",2017,1293.98,22085.34,17290,4511,44803.3695411217
"辽宁",2017,2135.5,6676.74,24866,4312,50308.4415584416
"内蒙古",2017,2891.87,14013.16,23909,2433,61233.4566378956
"宁夏",2017,978.3,3728.38,21058,705,45394.3262411348
"青海",2017,687.01,3883.55,18020,586,42066.5529010239
"山东",2017,5430.16,55202.72,28353,10033,62804.8440147513
"山西",2017,1990.61,6040.54,18132,3510,41265.811965812
"陕西",2017,1494.75,23819.38,18485,3904,55003.8422131148
"上海",2017,1526.77,7246.6,53617,2466,133515.815085158
"四川",2017,2205.18,31902.08,17920,8289,45729.4004101822
"天津",2017,805.59,11288.92,38975,1410,88302.1276595745
"西藏",2017,58.19,1975.6,10990,349,38653.2951289398
"新疆",2017,2542.85,12089.12,16736,2480,44999.5967741935
"云南",2017,1538.1,18935.99,15831,4693,39390.5817174515
"浙江",2017,4192.63,31696.03,33851,6170,84932.0907617504
"重庆",2017,996.55,17537.05,22927,3144,63824.1094147583
