"Region","Year","Electricity","Investment","Consumption","Population","gdpPercap"
"湖南",2004,662.61,2072.56,4355,6698,8275.0074649149
"吉林",2004,383.06,1169.1,4601,2709,9063.12292358804
"江苏",2004,1820.08,6557.05,5913,7523,19703.7086268776
"江西",2004,389.2,1713.2,3353,4284,7932.07282913165
"辽宁",2004,1058.1,2979.59,5492,4217,15342.1863884278
"内蒙古",2004,535.58,1787.95,4042,2393,12295.8629335562
"宁夏",2004,272.83,376.2,3873,588,8841.83673469388
"青海",2004,199.64,289.18,3443,539,8231.91094619666
"山东",2004,1693.71,6970.62,4924,9180,14496.8409586057
"山西",2004,841.55,1443.88,3676,3335,10482.7586206897
"陕西",2004,459.78,1508.89,3733,3681,8534.63732681337
"上海",2004,821.44,3050.26,15937,1835,44150.408719346
"四川",2004,857.02,2818.42,3656,8090,7792.33621755253
"天津",2004,350.97,1245.66,8621,1024,25596.6796875
"西藏",2004,NA,162.36,3139,276,7894.92753623188
"新疆",2004,265.9,1147.15,3445,1963,11056.5461029037
"云南",2004,475.19,1291.54,3315,4415,7103.9637599094
"浙江",2004,1419.53,5781.35,8174,4925,23313.9086294416
"重庆",2004,309.06,1537.05,4155,2793,10954.1711421411
"安徽",2005,582.16,2525.11,3870,6120,9274.34640522876
"北京",2005,570.54,2827.23,14662,1538,46487.6462938882
"福建",2005,756.59,2316.72,6793,3557,18036.2665167276
"甘肃",2005,489.48,870.36,3453,2545,7326.52259332024
"广东",2005,2673.56,6977.93,9799,9194,23888.405481836
"广西",2005,510.15,1661.17,3899,4660,8030.25751072961
"贵州",2005,486.97,998.25,3256,3730,5200.80428954424
"海南",2005,81.61,367.17,4165,828,10687.1980676328
"河北",2005,1501.92,4139.69,4270,6851,12806.0137206247
"河南",2005,1352.74,4311.63,4092,9380,10920.5756929638
"黑龙江",2005,555.85,1737.27,4822,3820,12451.3089005236
"湖北",2005,788.91,2676.58,4883,5710,11330.472854641
"湖南",2005,674.43,2629.07,4952,6326,10069.3961429023
"吉林",2005,378.23,1741.09,5191,2716,10222.7540500736
"江苏",2005,2193.45,8165.38,7066,7588,23881.5234580917
"江西",2005,391.98,2176.6,3821,4311,9142.19438645326
"辽宁",2005,1110.56,4200.45,6447,4221,17201.6109926558
"内蒙古",2005,667.72,2643.6,4967,2403,14663.7536412817
"宁夏",2005,302.88,443.25,4469,596,9729.86577181208
"青海",2005,206.56,329.81,3888,543,9197.05340699816
"山东",2005,1911.61,9307.3,5916,9248,17244.2690311419
"山西",2005,946.33,1826.58,4172,3355,12159.1654247392
"陕西",2005,516.43,1882.18,4182,3690,10344.7154471545
"上海",2005,921.97,3509.66,17894,1890,48661.9047619048
"四川",2005,942.59,3585.18,4130,8212,8762.66439357039
"天津",2005,384.84,1495.14,9504,1043,30283.7967401726
"西藏",2005,NA,181.39,2990,280,8682.14285714286
"新疆",2005,310.14,1339.06,3814,2010,12539.8009950249
"云南",2005,557.25,1777.63,3844,4450,7860
"浙江",2005,1642.31,6520.07,9558,4991,26103.5864556201
"重庆",2005,347.68,1933.16,4702,2798,12324.5175125089
"安徽",2006,662.18,3533.56,4409,6110,10638.7888707038
"北京",2006,611.57,3296.38,16487,1601,52386.0087445347
"福建",2006,866.84,2981.82,7971,3585,20832.9149232915
"甘肃",2006,536.33,1022.59,3810,2547,8649.39144091087
"广东",2006,3004.03,7973.37,10619,9442,27495.4458801101
"广西",2006,579.46,2198.72,4280,4719,9361.729179911
"贵州",2006,581.98,1197.43,3797,3690,6135.77235772358
"海南",2006,97.68,423.89,4819,836,12290.6698564593
"河北",2006,1734.83,5470.24,4924,6898,14559.2925485648
"河南",2006,1523.5,5904.71,4530,9392,12753.300681431
"黑龙江",2006,597.05,2236,5141,3823,13941.4072717761
"湖北",2006,876.76,3343.47,5480,5693,13229.9314948182
"湖南",2006,768.77,3175.52,5508,6342,11718.0700094607
"吉林",2006,412.46,2594.34,5710,2723,11849.0635328682
"江苏",2006,2569.75,10069.22,8182,7656,27743.9916405434
"江西",2006,446.2,2683.57,4117,4339,10824.6139663517
"辽宁",2006,1228.27,5689.64,6926,4271,19644.8138609225
"内蒙古",2006,884.91,3363.21,5746,2415,17233.1262939959
"宁夏",2006,377.85,498.75,5070,604,11312.9139072848
"青海",2006,244.41,408.54,4229,548,10678.8321167883
"山东",2006,2272.07,11111.42,7064,9309,20375.7653883339
"山西",2006,1097.68,2255.74,4883,3375,13966.2222222222
"陕西",2006,580.73,2480.69,4742,3699,12423.8983509057
"上海",2006,990.14,3900.04,20022,1964,53965.8859470468
"四川",2006,1059.44,4412.88,4501,8169,10398.7024115559
"天津",2006,433.65,1820.52,10609,1075,32913.488372093
"西藏",2006,13,231.14,2877,285,10031.5789473684
"新疆",2006,356.2,1567.05,4151,2050,14425.8536585366
"云南",2006,645.61,2208.6,4172,4483,9124.91635065804
"浙江",2006,1909.23,7590.22,11099,5072,30170.9384858044
"重庆",2006,405.2,2407.36,5323,2808,13889.9572649573
"安徽",2007,769.1,5087.53,5276,6118,12980.7126511932
"北京",2007,667.01,3907.2,18553,1676,62204.6539379475
"福建",2007,1000.33,4287.75,8943,3612,25818.3831672204
"甘肃",2007,614.74,1304.16,4298,2548,10498.8226059655
"广东",2007,3394.05,9294.26,12336,9660,32859.83436853
"广西",2007,681.14,2939.67,5114,4768,11482.3825503356
"贵州",2007,669.1,1488.8,4263,3632,7840.03303964758
"海南",2007,113.25,502.37,5630,845,14603.550295858
"河北",2007,2013.67,6884.68,5667,6943,17503.8167938931
