"term","estimate","std_error","statistic","p_value","conf_low","conf_high"
"(Intercept)",37.2272701164472,1.59878753799939,23.2846886979309,2.56545851198372e-20,33.9573824522585,40.4971577806359
"wt",-3.87783074240468,0.632733494377395,-6.12869521981041,1.11964713620004e-06,-5.17191604067554,-2.58374544413383
"hp",-0.031772946982161,0.00902970967585572,-3.51871191020878,0.00145122853156942,-0.0502407768710736,-0.0133051170932484
